views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
7000,6,2,2018-08-01,10000.0,8186.467299771903,15.25,17.09585938349892,2.5,2.152174323323038
0,0,0,2018-09-01,8750.0,7597.087551819161,9.5,15.051161813791168,2.25,2.10820419078982
5000,5,2,2018-10-01,6000.0,7007.707803865545,4.0,13.006464244082508,1.5,2.0642340582564884
4000,8,1,2018-11-01,4000.0,6418.328055914841,4.75,10.961766674374303,1.25,2.020263925723185
0,0,0,2018-12-01,2250.0,5828.9483079612255,3.25,9.903980235508698,0.75,1.9762937931898819
9000,36,2,2019-01-01,4500.0,5239.568560009357,12.25,10.542816932948426,1.25,1.932323660656607
3000,10,1,2019-02-01,4000.0,4650.188812056906,13.5,11.181653630388155,1.0,1.8883535281232469
2000,4,1,2019-03-01,3500.0,4060.8090641041636,12.5,11.820490327828338,1.0,1.844383395589972
2000,11,1,2019-04-01,4000.0,3471.4293161514215,15.25,12.459327025267612,1.25,1.8004132630566687
3000,11,1,2019-05-01,2500.0,3464.4174435912864,9.0,13.098163722707795,1.0,1.7564431305233654
7000,42,3,2019-06-01,3500.0,3700.803387621301,17.0,13.737000420147524,1.5,1.7124729979900053
4752,10,3,2019-07-01,4188.0,3937.189331652131,18.5,14.375837117586798,2.0,1.6685028654567589
1000,1,1,2019-08-01,3938.0,4173.57527568005,16.0,15.014673815026526,2.0,1.6245327329234271
4000,18,3,2019-09-01,4188.0,4409.961219711055,17.75,15.653510512466255,2.5,1.5805626003901239
6000,17,2,2019-10-01,3938.0,4646.34716373909,11.5,16.292347209905984,2.25,1.536592467856849
8000,24,2,2019-11-01,4750.0,4882.733107767126,15.0,16.93118390734662,2.0,1.4926223353235457
2000,10,1,2019-12-01,5000.0,5119.119051798945,17.25,17.57002060478635,2.0,1.4486522027901856
2000,11,1,2020-01-01,4500.0,5355.504995828844,15.5,18.209182665730623,1.5,1.4046820702569107
21998,70,4,2020-02-01,8499.5,5591.890939855017,28.75,25.40266021071784,2.0,1.3607119377236359
1000,13,1,2020-03-01,6749.5,5828.276883886836,26.0,32.5961377557046,1.75,1.3167418051903326
8000,51,1,2020-04-01,8249.5,6064.662827916793,36.25,39.789615300691366,1.75,1.2727716726570009
4000,8,2,2020-05-01,8749.5,6301.048771946575,35.5,46.983092845678584,2.0,1.2288015401236692
20000,246,1,2020-06-01,8250.0,6537.434715974785,79.5,54.17657039066489,1.25,1.1848314075903943
